text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_a,explicacao_llm_a
"a polícia prendeu , até agora , cinco pessoas por envolvimento na morte de fabiana , romuyuki e juan gonçalves , encontrados carbonizados em uma estrada de terra em são bernardo do campo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma preocupação com a criminalidade e a investigação de um caso de morte, sem atacar diretamente o grupo de 'bandidos' nem incitar violência. Contém informações sobre a prisão de pessoas envolvidas em um caso, o que é uma crítica ao crime, mas não promove ódio ou violência."
"onda de assaltos aterroriza moradores do morumbi , em são paulo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa preocupação com uma onda de assaltos em uma região específica, sem atacar diretamente o grupo de criminosos nem incitar violência. Contém uma crítica à situação de segurança, mas não há desumanização, ódio ou promoção de violência contra 'bandidos'."
polícia procura bandidos que botaram fogo em carros e atiraram em ônibus hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona a busca por bandidos envolvidos em crimes, mas não contém ataques diretos, desumanização ou incitação à violência. A crítica é sobre criminalidade, sem promover ódio ou violência contra o grupo de bandidos."
dupla de criminosos rouba encomendas de entregadores em são paulo . veja no hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona um fato relacionado à criminalidade sem atacar diretamente o grupo de 'bandidos' ou incitar violência. Expressa uma observação sobre um comportamento criminoso, sem desumanização, humilhação ou promoção de violência. A linguagem é clara e inteligível em português."
jovem é preso após atacar idosa de number anos no elevador do prédio em que morava hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve um fato de segurança pública sem atacar o grupo de 'bandidos' ou promover ódio, desumanização ou incitação à violência. Expressa apenas uma situação de crime comum, sem julgamento ou agressividade contra um grupo específico."
"notícia urgente : polícia faz operação contra empresários que tomaram vacina em garagem de ônibus , em belo horizonte ( amigo ) . veja mais no hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto menciona uma operação da polícia contra empresários que tomaram vacina em local não autorizado, mas não contém ataques diretos, desumanização ou incitação à violência contra o grupo. A crítica é sobre prática de saúde não regulamentada, não sobre bandidos ou criminosos como grupo alvo de ódio ou violência."
as meninas estavam na calçada quando um carro invadiu o local e as atropelou . os familiares pedem justiça e questionam por que não fizeram teste de bafômetro no motorista hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa preocupação com um acidente e pede justiça, sem atacar diretamente o grupo de 'bandidos' nem incitar violência. A menção ao teste de bafômetro é um pedido de investigação, não uma desumanização ou difamação."
"bandido homem-aranha ? homem escala parede de prédio , pula janela , invade apartamento e ataca duas mulheres . veja as imagens ! hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto ataca o grupo de 'bandidos' de forma desumanizante e incita uma imagem de violência contra mulheres, associando-os a atos de invasão e agressão. A descrição de um 'bandido homem-aranha' sugere uma degradação do grupo, com linguagem que pode promover estereótipos e desconfiança, mesmo que indiretamente."
"um hashtag foi apreendido e um criminoso acabou morto depois de atacar nossos policiais militares . o armamento de guerra estava com ele . a ação aconteceu na noite desta sexta ( number ) no morro do dennis . conhecido como rato , o criminoso atuava na resistência armada do tráfico de drogas . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto contém uma descrição de um criminoso como 'bandido' e menciona a morte dele como consequência de atacar policiais, o que implica uma desumanização e legitimidade de violência contra um grupo específico. Além disso, o uso de termos como 'criminoso' e'resistência armada do tráfico de drogas' sugere uma postura antipática e potencialmente incitadora de violência."
"não tem como a polícia atirar sem ser ameaçada antes . eu prefiro acreditar na polícia do que em bandido . observação : só de armas e granadas , foram apreendidas mais do que number . sinal que , possivelmente , todos que morreram estavam armados .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa preocupação com a segurança pública e a ação da polícia, sem atacar diretamente o grupo de 'bandidos' com ódio ou incitação à violência. Apesar de mencionar 'bandido', o foco é na análise de dados e na crítica ao uso da força policial, não na desumanização ou promoção de violência."
"username username se tivessem ao menos number segurança armado isso não teria acontecido , e pra piorar a polícia ao invés de mandar esse lixo pro inferno vai defender ele da população e ainda vamos sustentar esse lixo na cadeia",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto ataca explicitamente a polícia, desumanizando-a como 'lixo' e incitando a ideia de mandá-la 'pro inferno', além de sugerir que a polícia defende criminosos. Isso demonstra antipatia e desconfiança contra um grupo (criminosos ou policiais) e promove uma postura de rejeição e violência implícita."
username traficante não tem que ir para cadeia não e sim ir para uma fazenda com uma bola de ferro no pé com uma foice para roçar pasto aí sim queria ver ele iria querer voltar a roubar estamos cansado disso já nossa justiça muito ruim,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto contém uma desumanização e humilhação do grupo 'traficante', descrevendo-o como alguém que deve ser colocado em uma fazenda com bola de ferro no pé e foice para roçar pasto, o que é uma forma de incitar violência e punição extrema. Isso atinge os critérios de desumanização e incitação à violência contra um grupo específico de criminosos."
"username penalidade máxima ao assassino covarde . suje it o com number anos é maior de idade , não é jovem nem adolescente:",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,"10 anos de prisão
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
não é jovem nem adolescente
n",
"username username e parte da imprensa , g1 . dando narrativa à criminoso morto no rj . será que irão fazer o mesmo pela família deste pobre trabalhador ? inversão de valores total !",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa crítica sobre a narrativa da imprensa em relação a um criminoso morto e questiona a inversão de valores, mas não ataca diretamente o grupo de 'bandidos' com ódio, desumanização ou incitação à violência. A crítica é sobre a forma como a mídia trata o crime e a justiça, não sobre o grupo em si."
"username sobre o fato ocorrido no jacarezinho , que os traficantes não tiveram a chance de se entregar e foram mortos , aí eu pergunto e o policial civil que foi baleado na cabeça indo a óbito , teve alguma chance 🤔 ? sociedade hipócrita 😡 😡",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto ataca diretamente o grupo de 'traficantes' com a frase 'eles não tiveram a chance de se entregar' e os descreve como objeto de morte, além de usar termos como'sociedade hipócrita' e emoções intensas ('😡'), o que indica antipatia e desconfiança. A ausência de chance de entrega e a menção à morte dos traficantes sugerem uma desumanização e uma possível incitação à violência contra esse grupo."
username nenhum morto no jacaré foi vítima da sociedade . optou em ser bandido porque quis . aliciadores levianos . trabalhar dar trabalho não é .,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa uma crítica sobre a escolha de alguns indivíduos serem 'bandidos' e menciona 'aliciadores leves', mas não incita violência, desumanização ou ataques diretos com intenção de legitimar violência contra o grupo. A linguagem é crítica e preocupada com a criminalidade, mas não ataca de forma tóxica ou promove ódio."
username é um absurdo oque os policiais passam no rj arriscam a vida ainda são chamados de assassinos.,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa frustração com a atuação dos policiais no RJ, mas não contém ataques diretos a 'bandidos' nem incitação à violência. A crítica é voltada para a segurança pública e o risco dos policiais, sem desumanizar ou difamar um grupo específico."
"username quem defende bandido , bandido é , não merece um pingo de consideração nem respeito por parte do cidadão de bem . parabéns a polícia . o bem vai vencer eu creio .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto ataca diretamente o grupo de 'bandidos', desumanizando-os ao dizer que 'não merecem um pingo de consideração nem respeito', o que constitui um ataque baseado em ódio e desrespeito. Além disso, expressa uma postura que valoriza a violência policial como solução, embora implícita, o que reforça a classificação como tóxico."
username cadê os direitos humanos pra família do policial que morreu isso ninguém faz pra cima deles parabéns a polícia militar,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa frustração com a falta de proteção para a família de um policial morto, mas não ataca diretamente o grupo de 'bandidos' nem incita violência. A crítica é direcionada à falta de direitos humanos para famílias de policiais, sem desumanização ou promoção de ódio contra criminosos."
username username policial pode ser assassinado o bandido tem que ser tratado como amigo a verdade e que o morador prefere os bandidos lamentável,Não Tóxico,Tóxico,Tóxico,Tóxico,x,Tóxico,"O texto contém uma desumanização do grupo 'bandidos', tratando-os como 'amigos' e sugerindo que o morador prefere eles, o que implica uma postura de aceitação de comportamentos criminosos. Isso demonstra antipatia e desconfiança em relação à criminalidade, além de promover uma visão distorcida e humilhante do grupo, caracterizando um discurso de ódio."
username sente o arsenal apreendido pela polícia na operação no jacarezinho hoje . até bala de canhão ! ! ! number bandidos morreram e um policial civil . maior número de mortes em uma ação da polícia do rj url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa preocupação com a criminalidade e o resultado de uma operação policial, mencionando mortes sem atacar diretamente o grupo de 'bandidos' ou incitar violência. A linguagem é factual e informativa, sem desumanização, humilhação ou incitação à violência."
traficante youtuber é morto no dennis hashtag um fuzil pistola number foi apreendido no morro do dennis durante operação da hashtag . na ação foi apreendido material entorpecente e o traficante rato foi neutralizado após atacar os policiais . url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto contém referência direta a um 'traficante' sendo 'neutralizado após atacar os policiais', o que implica desumanização e legitimação de violência contra um grupo criminoso. A linguagem sugere uma atitude de desprezo e violência implícita, alinhada aos critérios de discurso de ódio."
dois assaltantes em uma moto tentaram assaltar um uber éreas de bicicleta e tomaram um pau . grande dia kkk 👍 url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto menciona um evento de assalto, mas não ataca diretamente o grupo de 'bandidos' nem incita violência. A expressão 'grande dia kkk' indica humor, não ódio ou desumanização. A crítica é de natureza leve e não promove violência ou discriminação."
"a população não aguenta mais . um bandido estava roubando a moto , e um motorista reagiu url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa frustração com a criminalidade e uma reação de um motorista a um ato de roubo, mas não ataca diretamente o grupo de 'bandidos' nem incita violência. A descrição é neutra e não contém desumanização ou promoção de violência."
essa pra mim foi uma das melhores reações da vítima 👍 url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma opinião positiva sobre uma reação de vítima, sem atacar nenhum grupo específico nem incitar violência. Não há conteúdo tóxico, nem desumanização ou ódio."
policial de folga garantiu o envio da encomenda para a eternidade . url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Lixo,"O texto é ininteligível e contém uma frase sem sentido ('policial de folga garantiu o envio da encomenda para a eternidade') com uma URL não contextualizada, o que indica ruído e falta de coerência semelhante a conteúdo aleatório."
username a vida é feita de escolhas ! únicos ladrões que vejo se aposentar por idade é políticos . parabéns ao militar ! ! !,Tóxico ,Não Tóxico,Tóxico,Tóxico,x,Não Tóxico,"O texto expressa uma opinião crítica sobre políticos que se aposentam por idade, mas não ataca diretamente o grupo de 'bandidos' com antipatia, desumanização ou incitação à violência. A crítica é voltada para a política e não para criminosos em geral, e não contém elementos que promovam ódio ou violência contra um grupo específico."
username caracas ! ! ! descarregou tudo ! ! ! pra não ter dúvida mesmo . e o outro ainda veio algemar,Não Tóxico,Não Tóxico,Tóxico,Não Tóxico,x,Lixo,"O texto contém caracteres aleatórios, repetições e falta de sentido claro, sem conteúdo coerente ou relevante. Não está em português de forma clara e apresenta ruído sem valor semântico."
