text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_b,explicacao_llm_b
"motorista abandona esposa e filha após matar motociclista em acidente de carro . de acordo com a mulher , ele havia ingerido uma grande quantidade de bebidas alcoólicas hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto descreve uma ação subsequente (abandono da esposa e filha) após um incidente de violência (matar motociclista) e menciona o consumo excessivo de álcool, o que pode incitar a violência e ser visto como uma negligência dos direitos do outro indivíduo."
moradores registram vídeos de intensos tiroteios em comunidade hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"<Explique em 1–2 frases, com base nos critérios>"
"a polícia prendeu , até agora , cinco pessoas por envolvimento na morte de fabiana , romuyuki e juan gonçalves , encontrados carbonizados em uma estrada de terra em são bernardo do campo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto refere-se a um crime violento (morte com carbonização) e usa uma linguagem que pode incitar emoções negativas ou desumanizando os envolvidos, o que se alinha com a categoria de discurso de ódio."
"onda de assaltos aterroriza moradores do morumbi , em são paulo hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa uma situação de criminalidade (onda de assaltos) e usa um hashtag e uma URL, o que é usual em redes sociais para discutir eventos. Não há linguagem explícita ou implícita de ódio, violência ou desumanização de um grupo específico, portanto, é classificado como Não Tóxico."
polícia procura bandidos que botaram fogo em carros e atiraram em ônibus hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa frustração e solicita ações contra crimes, mas não promove violência ou ataque a um grupo, portanto, é Não Tóxico."
dupla de criminosos rouba encomendas de entregadores em são paulo . veja no hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto menciona um comportamento criminal, mas não promove diretamente ódio, violência ou desqualificações de um grupo. No entanto, a menção de um crime pode ser vista como uma expressão de desaprovação, colocando-o tecnicamente na zona cinzenta. Para uma classificação mais segura, pedimos mais contexto. Por enquanto, consideraremos como Não Tóxico."
jovem é preso após atacar idosa de number anos no elevador do prédio em que morava hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"<Explique em 1–2 frases, com base nos critérios>"
"notícia urgente : polícia faz operação contra empresários que tomaram vacina em garagem de ônibus , em belo horizonte ( amigo ) . veja mais no hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Não Tóxico | Tóxico | Lixo>,O texto relata uma notícia sobre uma operação policial sem intenção de promover ódio ou violência. Pertence ao domínio de informação e não ataca diretamente um grupo.
as meninas estavam na calçada quando um carro invadiu o local e as atropelou . os familiares pedem justiça e questionam por que não fizeram teste de bafômetro no motorista hashtag url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa a preocupação e busca pela justiça após um incidente trágico. Não há ataque direto ao grupo, incitação à violência ou discurso de ódio."
"bandido homem-aranha ? homem escala parede de prédio , pula janela , invade apartamento e ataca duas mulheres . veja as imagens ! hashtag url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto descreve um cenário violento envolvendo bandidos atacando civis, o que pode ser interpretado como incitamento à violência, portanto, é classificado como Tóxico."
"um hashtag foi apreendido e um criminoso acabou morto depois de atacar nossos policiais militares . o armamento de guerra estava com ele . a ação aconteceu na noite desta sexta ( number ) no morro do dennis . conhecido como rato , o criminoso atuava na resistência armada do tráfico de drogas . url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto discute um evento envolvendo a intervenção policial e a morte de um criminoso, sem incitar violência ou discriminar um grupo. No entanto, a menção de 'armamento de guerra' poderia ser interpretada de forma sensível, mas não necessariamente promove violência ou discurso de ódio por si só."
"não tem como a polícia atirar sem ser ameaçada antes . eu prefiro acreditar na polícia do que em bandido . observação : só de armas e granadas , foram apreendidas mais do que number . sinal que , possivelmente , todos que morreram estavam armados .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,O texto expressa uma preferência por confiar na polícia e observa uma situação factual sem incitar violência ou discriminar um grupo.
"username username se tivessem ao menos number segurança armado isso não teria acontecido , e pra piorar a polícia ao invés de mandar esse lixo pro inferno vai defender ele da população e ainda vamos sustentar esse lixo na cadeia",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa frustração com a polícia e a criminalidade, mas não promove violência ou ataque ao grupo. Portanto, é classificado como Não Tóxico."
username traficante não tem que ir para cadeia não e sim ir para uma fazenda com uma bola de ferro no pé com uma foice para roçar pasto aí sim queria ver ele iria querer voltar a roubar estamos cansado disso já nossa justiça muito ruim,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto promove a violência contra um indivíduo presumido como traficante, sugerindo um meio de castigo não legal (rolar com uma foice) e criticando a justiça, o que pode ser interpretado como incitamento a desumanizar e negação de direitos legais."
"username penalidade máxima ao assassino covarde . suje it o com number anos é maior de idade , não é jovem nem adolescente:",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto classifica como Tóxico, pois desumaniza o assassino (usando o termo 'covarde') e sugere que a punição deve ser severa, o que pode ser interpretado como incitamento ao extremismo penal."
"username username e parte da imprensa , g1 . dando narrativa à criminoso morto no rj . será que irão fazer o mesmo pela família deste pobre trabalhador ? inversão de valores total !",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa indignação com a suposta injustiça na forma como a família de um criminoso morto é tratada, o que indica frustração ou crítica sem ataque direto ou incitação à violência."
"username sobre o fato ocorrido no jacarezinho , que os traficantes não tiveram a chance de se entregar e foram mortos , aí eu pergunto e o policial civil que foi baleado na cabeça indo a óbito , teve alguma chance 🤔 ? sociedade hipócrita 😡 😡",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa frustração e crítica às autoridades e à sociedade, mas não promove violência ou discurso de ódio contra um grupo, portanto, é classificado como Não Tóxico."
username nenhum morto no jacaré foi vítima da sociedade . optou em ser bandido porque quis . aliciadores levianos . trabalhar dar trabalho não é .,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto apresenta um discurso de ódio contra bandidos, sugerindo que escolher ser bandido é uma opção e atribuindo culpa à sociedade. Ele também faz referência a 'aliciadores', o que pode implicar em manipulação ou recrutamento para atividades criminosas, reforçando o discurso de ódio."
username é um absurdo oque os policiais passam no rj arriscam a vida ainda são chamados de assassinos.,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa descontentamento com a condição dos policiais e usa um termo forte ('assassinos') para descrevê-los, mas não promove diretamente violência ou a ataque a um grupo sem justificativa, portanto, pode ser visto como uma crítica forte sem ser claramente tóxico."
"username quem defende bandido , bandido é , não merece um pingo de consideração nem respeito por parte do cidadão de bem . parabéns a polícia . o bem vai vencer eu creio .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa opinião contra criminosos e defende a polícia, mas não promove violência ou desumaniza o grupo, portanto, é Não Tóxico."
username cadê os direitos humanos pra família do policial que morreu isso ninguém faz pra cima deles parabéns a polícia militar,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto expressa preocupação com direitos humanos em relação à família de um policial, sem incitar violência ou ataques contra um grupo. Portanto, é classificado como Não Tóxico."
username username policial pode ser assassinado o bandido tem que ser tratado como amigo a verdade e que o morador prefere os bandidos lamentável,Não Tóxico,Tóxico,Tóxico,Tóxico,x,<Tóxico | Não Tóxico | Lixo>,"A mensagem expressa um desejo irracional de tratamento amigável para bandidos, o que pode ser interpretado como sugerindo uma falta de respeito às normas legais e à segurança pública, o que pode ser considerado tóxico."
username sente o arsenal apreendido pela polícia na operação no jacarezinho hoje . até bala de canhão ! ! ! number bandidos morreram e um policial civil . maior número de mortes em uma ação da polícia do rj url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto demonstra uma atitude antipática em relação aos bandidos e incentiva implicitamente uma visão negativa de agentes policiais (chamando de 'policial civil') associada à morte, o que pode ser interpretado como glorificação de violência ou ataque às forças policiais."
traficante youtuber é morto no dennis hashtag um fuzil pistola number foi apreendido no morro do dennis durante operação da hashtag . na ação foi apreendido material entorpecente e o traficante rato foi neutralizado após atacar os policiais . url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve uma situação envolvendo polícia e um traficante, sem promover violência ou discriminar um grupo. Menciona apreensão de materiais ilícitos, o que é uma declaração factual sobre uma operação policial."
dois assaltantes em uma moto tentaram assaltar um uber éreas de bicicleta e tomaram um pau . grande dia kkk 👍 url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Lixo,"O texto contém caracteres aleatórios, ruído e não é escrito em forma legível de português, atendendo aos critérios para classificação como Lixo."
"a população não aguenta mais . um bandido estava roubando a moto , e um motorista reagiu url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"O texto descreve uma reação a um incidente de roubo, que pode implicar violência, mas não incita explicitamente violência ou ataque a um grupo sem contexto adicional."
essa pra mim foi uma das melhores reações da vítima 👍 url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"<Explique em 1–2 frases, com base nos critérios>"
policial de folga garantiu o envio da encomenda para a eternidade . url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,<Tóxico | Não Tóxico | Lixo>,"<Explique em 1–2 frases, com base nos critérios>"
username a vida é feita de escolhas ! únicos ladrões que vejo se aposentar por idade é políticos . parabéns ao militar ! ! !,Tóxico ,Não Tóxico,Tóxico,Tóxico,x,<Tóxico | Não Tóxico | Lixo>,"O texto expressa uma opinião sobre diferentes grupos - ladrões, políticos e militares, sem incitar violência ou discurso de ódio. Portanto, é classificado como Não Tóxico."
username caracas ! ! ! descarregou tudo ! ! ! pra não ter dúvida mesmo . e o outro ainda veio algemar,Não Tóxico,Não Tóxico,Tóxico,Não Tóxico,x,Lixo,"O texto é composto por caracteres e espaços irrelevantes sem estrutura ou conteúdo inteligível, atendendo aos critérios de classificação de Lixo."
