"text_","anotador_a","anotador_b","anotador_c","result",""
"username sobre o fato ocorrido no jacarezinho , que os traficantes não tiveram a chance de se entregar e foram mortos , aí eu pergunto e o policial civil que foi baleado na cabeça indo a óbito , teve alguma chance 🤔 ? sociedade hipócrita 😡 😡","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username nenhum morto no jacaré foi vítima da sociedade . optou em ser bandido porque quis . aliciadores levianos . trabalhar dar trabalho não é .","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username é um absurdo oque os policiais passam no rj arriscam a vida ainda são chamados de assassinos.","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"username quem defende bandido , bandido é , não merece um pingo de consideração nem respeito por parte do cidadão de bem . parabéns a polícia . o bem vai vencer eu creio .","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username cadê os direitos humanos pra família do policial que morreu isso ninguém faz pra cima deles parabéns a polícia militar","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username username policial pode ser assassinado o bandido tem que ser tratado como amigo a verdade e que o morador prefere os bandidos lamentável","Não Tóxico","Tóxico","Tóxico","Tóxico","x"
"username sente o arsenal apreendido pela polícia na operação no jacarezinho hoje . até bala de canhão ! ! ! number bandidos morreram e um policial civil . maior número de mortes em uma ação da polícia do rj url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"traficante youtuber é morto no dennis hashtag um fuzil pistola number foi apreendido no morro do dennis durante operação da hashtag . na ação foi apreendido material entorpecente e o traficante rato foi neutralizado após atacar os policiais . url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"dois assaltantes em uma moto tentaram assaltar um uber éreas de bicicleta e tomaram um pau . grande dia kkk 👍 url","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"a população não aguenta mais . um bandido estava roubando a moto , e um motorista reagiu url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"essa pra mim foi uma das melhores reações da vítima 👍 url","Não Tóxico","Não Tóxico","Não Tóxico","Não Tóxico","consenso"
"policial de folga garantiu o envio da encomenda para a eternidade . url","Tóxico ","Tóxico","Tóxico","Tóxico","consenso"
"username a vida é feita de escolhas ! únicos ladrões que vejo se aposentar por idade é políticos . parabéns ao militar ! ! !","Tóxico ","Não Tóxico","Tóxico","Tóxico","x"
"username caracas ! ! ! descarregou tudo ! ! ! pra não ter dúvida mesmo . e o outro ainda veio algemar","Não Tóxico","Não Tóxico","Tóxico","Não Tóxico","x"
