text_,anotador_a,anotador_b,anotador_c,result,Unnamed: 5,anotador_llm_b,explicacao_llm_b
username traficante não tem que ir para cadeia não e sim ir para uma fazenda com uma bola de ferro no pé com uma foice para roçar pasto aí sim queria ver ele iria querer voltar a roubar estamos cansado disso já nossa justiça muito ruim,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa desejo de violência e tortura contra um indivíduo identificado como 'traficante', justificando a violência com a alegação de que a justiça é ruim. Há uma clara incitação à prática de atos de tortura e sofrimento."
"username penalidade máxima ao assassino covarde . suje it o com number anos é maior de idade , não é jovem nem adolescente:",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto expressa ódio e desejo de morte contra um indivíduo identificado como 'assassino covarde', além de considerar sua idade como irrelevante, o que configura discurso de ódio e incitação à violência."
"username username e parte da imprensa , g1 . dando narrativa à criminoso morto no rj . será que irão fazer o mesmo pela família deste pobre trabalhador ? inversão de valores total !",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa indignação com a cobertura da mídia sobre um criminoso morto, sugerindo uma inversão de valores e questionando a falta de atenção com a família da vítima. A menção a \"
"username sobre o fato ocorrido no jacarezinho , que os traficantes não tiveram a chance de se entregar e foram mortos , aí eu pergunto e o policial civil que foi baleado na cabeça indo a óbito , teve alguma chance 🤔 ? sociedade hipócrita 😡 😡",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa indignação e crítica à sociedade, mas utiliza linguagem agressiva (emoji de raiva) e questiona a chance de entrega dos criminosos, implicando em justificativa para a violência e desumanização."
username nenhum morto no jacaré foi vítima da sociedade . optou em ser bandido porque quis . aliciadores levianos . trabalhar dar trabalho não é .,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto atribui a responsabilidade pela escolha de ser criminoso ao indivíduo, mas também o descreve como vítima de 'aliciadores levianos', o que pode ser interpretado como uma forma de desumanização e legitimação da violência contra esses indivíduos."
username é um absurdo oque os policiais passam no rj arriscam a vida ainda são chamados de assassinos.,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto expressa antipatia e desconfiança em relação à polícia no Rio de Janeiro, acusando-os de serem chamados de assassinos, o que pode ser interpretado como um ataque ao grupo e incitação à desconfiança."
"username quem defende bandido , bandido é , não merece um pingo de consideração nem respeito por parte do cidadão de bem . parabéns a polícia . o bem vai vencer eu creio .",Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Tóxico,"O texto expressa forte antipatia e desrespeito por indivíduos associados a 'bandidos', negando-lhes consideração e respeito, o que se enquadra em discurso de ódio e incitação à exclusão."
username cadê os direitos humanos pra família do policial que morreu isso ninguém faz pra cima deles parabéns a polícia militar,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa condolências e preocupação com a segurança dos policiais, sem atacar ou incitar violência contra nenhuma pessoa ou grupo."
username username policial pode ser assassinado o bandido tem que ser tratado como amigo a verdade e que o morador prefere os bandidos lamentável,Não Tóxico,Tóxico,Tóxico,Tóxico,x,Tóxico,"O texto expressa uma visão ambígua sobre a relação entre policiais e bandidos, sugerindo que os bandidos devem ser tratados como amigos, o que pode ser interpretado como uma forma de minimizar a ameaça que representam e, potencialmente, justificar violência contra eles."
username sente o arsenal apreendido pela polícia na operação no jacarezinho hoje . até bala de canhão ! ! ! number bandidos morreram e um policial civil . maior número de mortes em uma ação da polícia do rj url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto expressa apoio à morte de bandidos em uma operação policial, mencionando 'bala de canhão' e'maior número de mortes'. Isso indica incitação à violência e desumanização do grupo 'bandidos'."
traficante youtuber é morto no dennis hashtag um fuzil pistola number foi apreendido no morro do dennis durante operação da hashtag . na ação foi apreendido material entorpecente e o traficante rato foi neutralizado após atacar os policiais . url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Tóxico,"O texto descreve a morte de um traficante, menciona o uso de armas e a apreensão de drogas, mas também indica que o traficante atacou policiais, o que pode ser interpretado como incitação à violência e justificativa da neutralização do criminoso."
dois assaltantes em uma moto tentaram assaltar um uber éreas de bicicleta e tomaram um pau . grande dia kkk 👍 url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,O texto descreve um incidente de assalto e a reação da vítima sem expressar ódio ou incitar violência contra os assaltantes.
"a população não aguenta mais . um bandido estava roubando a moto , e um motorista reagiu url",Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto descreve um incidente de roubo e reação, sem atacar ou incitar violência contra criminosos."
essa pra mim foi uma das melhores reações da vítima 👍 url,Não Tóxico,Não Tóxico,Não Tóxico,Não Tóxico,consenso,Não Tóxico,"O texto expressa uma reação positiva à situação, sem atacar nenhum grupo ou incitar violência."
policial de folga garantiu o envio da encomenda para a eternidade . url,Tóxico ,Tóxico,Tóxico,Tóxico,consenso,Não Tóxico,"O texto expressa uma ação (envio da encomenda) e uma referência à eternidade, sem atacar nenhum grupo ou incitar violência."
username a vida é feita de escolhas ! únicos ladrões que vejo se aposentar por idade é políticos . parabéns ao militar ! ! !,Tóxico ,Não Tóxico,Tóxico,Tóxico,x,Tóxico,"O texto expressa antipatia e desconfiança em relação a 'ladrões' (referindo-se a políticos e criminosos) e elogia os militares, o que pode ser interpretado como uma incitação à violência contra o grupo aludido."
username caracas ! ! ! descarregou tudo ! ! ! pra não ter dúvida mesmo . e o outro ainda veio algemar,Não Tóxico,Não Tóxico,Tóxico,Não Tóxico,x,Tóxico,O texto expressa raiva e frustração em relação a alguém que \
